NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE,SAMPLE_COMMENTS,Marine::NMFS_DNA_ID,Marine::SPECIES_CODE,Marine::COMMON_NAME,Marine::SITE,Marine::STATE_M,Marine::COUNTY_M,Marine::LATITUDE_M,Marine::LONGITUDE_M,Marine::LOCATION_COMMENTS_M
R011814,R125,11C,A-080813-002,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,255,,,,ADULT,,,08/08/2013,,DSW,08/19/2013,,,R011814,SCHR,black and yellow rockfish,,,,36.54365,-121.93665,
R011815,R125,11D,A-080813-003,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,250,,,,ADULT,,,08/08/2013,,DSW,08/19/2013,,possibly SCAR,R011815,SCHR,black and yellow rockfish,,,,36.54365,-121.93665,
R011816,R125,11E,A-080813-004,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,235,,,,ADULT,,,08/08/2013,,DSW,08/19/2013,,,R011816,SCHR,black and yellow rockfish,,,,36.54365,-121.93665,
R011817,R125,11F,A-080813-005,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,240,,,,ADULT,,,08/08/2013,,DSW,08/19/2013,,,R011817,SCHR,black and yellow rockfish,,,,36.54365,-121.93665,
R011818,R125,11G,A-080813-006,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,230,,,,ADULT,,,08/08/2013,,DSW,08/19/2013,,,R011818,SCHR,black and yellow rockfish,,,,36.54455,-121.9365333,
R011819,R125,11H,A-080813-007,4143,NSF Rockfish Dispersal Project,Sebastes,mystinus,250,,,,ADULT,,,08/08/2013,,DSW,08/19/2013,,,R011819,SMYS,Blue Rockfish,,,,36.5455,-121.9369833,
R011820,R125,12A,A-080813-008,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,320,,,,ADULT,,,08/08/2013,,DSW,08/19/2013,,,R011820,SMEL,Black Rockfish,,,,36.5455,-121.9369833,
R011821,R125,12B,A-080813-009,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,325,,,,ADULT,,,08/08/2013,,DSW,08/19/2013,,,R011821,SATR,Kelp Rockfish,,,,36.5455,-121.9369833,
R011822,R125,12C,A-080813-010,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,270,,,,ADULT,,,08/08/2013,,DSW,08/19/2013,,,R011822,SCHR,black and yellow rockfish,,,,36.5455,-121.9369833,
R011823,R125,12D,A-080813-011,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,250,,,,ADULT,,,08/08/2013,,DSW,08/19/2013,,,R011823,SATR,Kelp Rockfish,,,,36.5455,-121.9369833,
R011824,R125,12E,A-080813-012,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,365,,,,ADULT,,,08/08/2013,,DSW,08/19/2013,,,R011824,SATR,Kelp Rockfish,,,,36.5455,-121.9369833,
R011825,R125,12F,A-080813-013,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,380,,,,ADULT,,,08/08/2013,,DSW,08/19/2013,,,R011825,SATR,Kelp Rockfish,,,,36.5455,-121.9369833,
R011826,R125,12G,A-080813-014,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,305,,,,ADULT,,,08/08/2013,,DSW,08/19/2013,,,R011826,SMEL,Black Rockfish,,,,36.5455,-121.9369833,
R011827,R125,12H,A-080813-015,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,255,,,,ADULT,,,08/08/2013,,DSW,08/19/2013,,,R011827,SCHR,black and yellow rockfish,,,,36.5455,-121.9369833,
R011828,R126,1A,A-080813-016,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,245,,,,ADULT,,,08/08/2013,,DB,08/27/2013,,,R011828,SCHR,black and yellow rockfish,,,,36.5455,-121.9369833,
R011829,R126,1B,A-080813-017,4143,NSF Rockfish Dispersal Project,Sebastes,mystinus,330,,,,ADULT,,,08/08/2013,,DB,08/27/2013,,,R011829,SMYS,Blue Rockfish,,,,36.54508333,-121.93605,
